カオマンガイ専門店 タイ料理ヒウマイ 千葉店,"Japan, 〒276-0020 Chiba, Chuo Ward, Sakaecho, 22−13 MIYABIビル8F",mobile number exception occurred, 
加悦のピザ屋 Kaetsu no pizza ya,"1 Chome-19 Nobuto, Chuo Ward, Chiba, 260-0032, Japan",mobile number exception occurred, 
秘伝焦がしたれ焼肉丼 やきはち 千葉 Yakinikudon Yakihachi Chiba,address exception occurred,mobile number exception occurred, 
鉄板焼肉 なんしようと？千葉駅前店 TEPPAN YAKINIKU ~ NANSHIYOTO？~,address exception occurred,mobile number exception occurred, 
大阪王将 千葉中央店 Osaka Ohsho Chiba Chuo,"Japan, 〒260-0015 Chiba, Chuo Ward, Fujimi, 2 Chome−13−3 第一電機ビル 1F",mobile number exception occurred, 
マンジュキッチン Manju Kitchen,"Japan, 〒260-0032 Chiba, Chuo Ward, Nobuto, 1 Chome−15−13 TKビル 1F",mobile number exception occurred, 
"東京からあげ専門店 あげたて千葉中央店＠まるから A specialty store from Tokyo, freshly prepared Chiba chuo store @ marukara Straw",address exception occurred,mobile number exception occurred, 
カレーハウス CoCo壱番屋 千葉中央駅東口店 Curry House CoCo Ichibanya Chiba Chuo Station Higashiguchi,"2 Chome-23-10 Fujimi, Chuo Ward, Chiba, 260-0015, Japan",mobile number exception occurred, 
ほっかほっか亭 問屋町（千葉）店 Hokkahokka-tei Tonyacho (Chiba),"12-1 Tonyacho, Chuo Ward, Chiba, 260-0025, Japan",mobile number exception occurred, 
壱角家 千葉駅前 Ichikakuya Chiba Station,"Japan, 〒260-0015 Chiba, Chuo Ward, Fujimi, 2 Chome−4−16 金子ビル 1Ｆ",mobile number exception occurred, 
インド料理ルンビニ Indian Restaurant LUMBINI,address exception occurred,mobile number exception occurred, 
ほっともっと 千葉みなと店 Hotto Motto Chiba Minato,"1 Chome-16-5 Saiwaicho, Mihama Ward, Chiba, 261-0001, Japan",mobile number exception occurred, 
ザ・ダッド・ボッド・バーガー 千葉 The Dad Bod Burger Chiba,address exception occurred,mobile number exception occurred, 
テクスメクス・サブローザ 千葉 TEXMEX SABROSA Chiba,address exception occurred,mobile number exception occurred, 
吉野家 千葉中央店 Yoshinoya CHIBA CHUO,"Japan, 〒260-0015 Chiba, Chuo Ward, Fujimi, 2 Chome−22−15 星野ビル １Ｆ",mobile number exception occurred, 
ハワイアンダイニング プロア Hawaiian Dining PUROA,"Japan, 〒260-0021 Chiba, Chuo Ward, Shinjuku, 2 Chome−2−2 第３プレシードビル B1F",mobile number exception occurred, 
蒙古タンメン中本 千葉店 Moukotanmen Nakamoto Chiba,"Japan, 〒260-0015 Chiba, Chuo Ward, Fujimi, 2 Chome−14−1 千葉ＥＸビル 1F",mobile number exception occurred, 
天丼てんや 千葉シーワン Tendon tenya Chiba C1,"2 Chome-25-1 Fujimi, Chuo Ward, Chiba, 260-0015, Japan",+81 43-221-6845, 
肉盛りそば つけ匠 【肉とろろ蕎麦に旨辛ラー油！】千葉駅前店,address exception occurred,mobile number exception occurred, 
爆発的にデカい唐揚げ専門店 爆カラ 千葉駅前店 EXTRA Large KARAAGE【BAKUKARA】,address exception occurred,mobile number exception occurred, 
やよい軒 千葉シーワン店 Yayoiken Chiba C-One,"2 Chome-24-1 Fujimi, Chuo Ward, Chiba, 260-0015, Japan",+81 43-201-0238, 
低温調理サラダチキン専門店 きちんと、チキン。千葉駅前店 Sous-vide Chicken【KICHIN TO CHICKEN】,address exception occurred,mobile number exception occurred, 
ガスト 千葉中央店 Gusto Chiba Chuo,"Japan, 〒260-0015 Chiba, Chuo Ward, Fujimi, 2 Chome−13−1 第二山崎ビル",mobile number exception occurred, 
ケバブマニア 千葉 KEBAB MANIA Chiba,address exception occurred,mobile number exception occurred, 
ピザハット 千葉 Pizza Hut,address exception occurred,mobile number exception occurred, 
