ドミノ・ピザ 神大寺店 Domino's Pizza Kandaiji Store,"4 Chome-16-7 Kandaiji, Kanagawa Ward, Yokohama, Kanagawa 221-0801, Japan",mobile number exception occurred, 
お寿司屋さんのまかない肉丼＠横浜店,address exception occurred,mobile number exception occurred, 
自家製ローストビーフでつくってみた。＠ビストロバンビーナ横浜,address exception occurred,mobile number exception occurred, 
肉撃！シェラスコ屋さんのまかないカレー＠肉ときどきレモンサワー。横浜,address exception occurred,mobile number exception occurred, 
ケンタッキーフライドチキン 横浜西口店 Kentucky Fried Chicken Yokohamanishiguchi,"2 Chome-7-18 Minamisaiwai, Nishi Ward, Yokohama, Kanagawa 220-0005, Japan",mobile number exception occurred, 
ローソン 神奈川大学前店 Lawson Kanagawa University,"3 Chome-24-12 Rokukakubashi, Kanagawa Ward, Yokohama, Kanagawa 221-0802, Japan",+81 45-481-1675, 
らぁ麺 はやし田 横浜,"Japan, 〒221-0835 Kanagawa, Yokohama, Kanagawa Ward, Tsuruyacho, 2 Chome−19-6 ガレリア横浜 1F",mobile number exception occurred, 
ゴンチャ 横浜西口店 Gong Cha Yokohama Nishiguchi,"Japan, 〒220-0005 Kanagawa, Yokohama, Nishi Ward, Minamisaiwai, 1 Chome−5−1 伊勢丹 FOOD&TIME ISETAN YOKOHAMA 内",+81 45-620-6690, 
中華料理 珍味楼 Chinese Restaurant Tinmirou,address exception occurred,mobile number exception occurred, 
カレーハウス CoCo壱番屋 東急白楽駅前通 Curry House CoCo Ichibanya Tokyu Hakuraku Station,"1 Chome-1-4 Rokukakubashi, Kanagawa Ward, Yokohama, Kanagawa 221-0802, Japan",mobile number exception occurred, 
丼丸 反町店 Bay Donmar Tanmachi,"Japan, 〒221-0841 Kanagawa, 横浜市神奈川区Kanagawa Ward, 松本町2-13-7 尾崎ビル1F",mobile number exception occurred, 
すき家 六角橋店 Sukiya Rokkakubashi,"1 Chome-11-1 Rokukakubashi, Kanagawa Ward, Yokohama, Kanagawa 221-0802, Japan",mobile number exception occurred, 
アイスクリームショップ ツボミ ice cream shop Tsubomi,address exception occurred,mobile number exception occurred, 
アリトル 白楽店 A'LITTLE HAKURAKU,"Japan, 〒221-0802 Kanagawa, Yokohama, Kanagawa Ward, Rokukakubashi, 1 Chome−8−23 羽屋ビル 1階",mobile number exception occurred, 
韓国風旨辛最高＃ヤンニョムチキン。＠鶏兵衛横浜,"Japan, 〒220-0005 Kanagawa, Yokohama, Nishi Ward, Minamisaiwai, 1 Chome−5−27 ヨドバシ相鉄駅前ビル B1F",mobile number exception occurred, 
大戸屋ごはん処 シァルプラット東神奈川店 Ootoya CIAL PLAT HIGASHI-KANAGAWA,"Japan, 〒221-0044 Kanagawa, Yokohama, Kanagawa Ward, Higashikanagawa, 1−29 シァルプラット東神奈川3F",mobile number exception occurred, 
吉野家 １号線三ッ沢中町店 Yoshinoya 1 GOSEN MITSUZAWA-NAKAMACHI,"Japan, 〒221-0851 Kanagawa, Yokohama, Kanagawa Ward, 三ッ沢中町９－７",mobile number exception occurred, 
クリスピー・クリーム・ドーナツ 横浜ジョイナス店 Krispy Kreme Doughnuts Yokohamajoinus,"Japan, 〒220-0005 Kanagawa, Yokohama, Nishi Ward, Minamisaiwai, 1−4 ジョイナス B1F",+81 45-328-3847, 
伝説のすた丼屋 横浜西口店 Densetsu no Sutadonya Yokohama Nishiguchi,"1 Chome-13-11 Okano, Nishi Ward, Yokohama, Kanagawa 220-0073, Japan",mobile number exception occurred, 
ほっともっと 沢渡,"3-1 Sawatari, Kanagawa Ward, Yokohama, Kanagawa 221-0844, Japan",mobile number exception occurred, 
楽茶 Rakucha,address exception occurred,mobile number exception occurred, 
烏煎道黒龍茶 白楽店 Usendou Kokuryucha Hakuraku,address exception occurred,mobile number exception occurred, 
ロッテリア 京急神奈川新町店 LOTTERIA Keikyu Kanagawa Shimmachi,"12-1 Shinmachi, Kanagawa Ward, Yokohama, Kanagawa 221-0043, Japan",mobile number exception occurred, 
ウェンディーズ・ファーストキッチン 横浜パルナード店 Wendy's First Kitchen YOKOHAMA PARUNA-DO,"Japan, 〒220-0005 Kanagawa, Yokohama, Nishi Ward, Minamisaiwai, 2 Chome−15−1 ファーストキッチン横浜パルナード店",mobile number exception occurred, 
壱角家 東神奈川 Ichikakuya Higashikanagawa,"1 Chome-8-1 Nishikanagawa, Kanagawa Ward, Yokohama, Kanagawa 221-0822, Japan",mobile number exception occurred, 
まんぷくドラゴン MANNPUKU DRAGON,"2 Chome Nishikanagawa, Kanagawa Ward, Yokohama, Kanagawa 221-0822, Japan",mobile number exception occurred, 
