カレーハウス CoCo壱番屋 中区丸の内一丁目 Curry House CoCo Ichibanya Naka-ku Marunouchi 1chome,address exception occurred,mobile number exception occurred, 
ゴンチャ 栄オアシス21店 Gong Cha Sakae Oasis 21,"1 Chome-11-1 Higashisakura, Higashi Ward, Nagoya, Aichi 461-0005, Japan",mobile number exception occurred, 
モスバーガー 栄五丁目店 Mos Burger SAKAE 5CHOME,"5 Chome-1-5 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
ローソン 新栄町三丁目,"3 Chome-1-11 Shinsakaemachi, Naka Ward, Nagoya, Aichi 460-0004, Japan",+81 52-953-1416, 
ロッテリア 名古屋セントラルパーク店 LOTTERIA Nagoya Central Park,"3 Chome-15-13 Nishiki, Naka Ward, Nagoya, Aichi 460-0003, Japan",+81 52-951-0808, 
ぷーCAFE Pu-CAFE,address exception occurred,mobile number exception occurred, 
スターバックス コーヒー 桜通り大津店 Starbucks Coffee Sakura-dori Otsu,"Japan, 〒460-0002 Aichi, Nagoya, Naka Ward, Marunouchi, 3 Chome−20−17 桜通ビル 1F KDX",+81 52-962-1055, 
ほっともっと 丸の内本町通店 Hotto Motto Marunouchi Honchodori,address exception occurred,mobile number exception occurred, 
おかゆと麺の店 粥餐庁栄森の地下街店,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 3 Chome−5−１２先 森の地下街",+81 52-265-6120, 
かっぱ寿司 名古屋白壁店　Kappa Sushi Nagoya Shirakabe,"3 Chome-11-25 Shirakabe, Higashi Ward, Nagoya, Aichi 461-0011, Japan",mobile number exception occurred, 
ミヤギディ 泉店 MYAGDI,"Japan, 〒461-0001 Aichi, Nagoya, Higashi Ward, Izumi, 1 Chome−22−29 0001 丁目 461",mobile number exception occurred, 
ノナラパール 名古屋サカエチカ店 NONARA PEARL,"3 Chome-4-6 サカエチカ内 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",+81 52-265-9303, 
ほっかほっか亭 桜通大津店 Hokkahokka-tei Sakuradoriotsu,"3 Chome-19-30 Marunouchi, Naka Ward, Nagoya, Aichi 460-0002, Japan",mobile number exception occurred, 
プロント 名古屋丸の内店 PRONTO,"Japan, 〒460-0002 Aichi, Nagoya, Naka Ward, Marunouchi, 2 Chome−20−19 名古屋東京海上日動ビルディング 1F",mobile number exception occurred, 
矢場とん 名古屋城金シャチ横丁店 Yabaton Nagoyajo Kinshachi Yokocho,"1 Chome-2-5 Sannomaru, Naka Ward, Nagoya, Aichi 460-0001, Japan",+81 52-231-8810, 
Y wai cafe(ワイワイ カフェ) Y wai cafe,"19-6 Daikancho, Higashi Ward, Nagoya, Aichi 461-0002, Japan",mobile number exception occurred, 
なか卯 高岳店 Nakau Takaoka,"355-1 Nomura, Takaoka, Toyama 933-0014, Japan",mobile number exception occurred, 
至高のガパオ！【タイ料理/アジアン丼】錦店,address exception occurred,mobile number exception occurred, 
生パスタ専門店 スパ金 ｓｕｐａｋｉｎ,"3 Chome-4-15 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan",mobile number exception occurred, 
デニーズ 名古屋東新町店 Denny's NAGOYATOUSHINNCHO,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 4 Chome−6−15 フォーティーンヒルズセンタービル 2F",+81 52-262-3701, 
巣ごもり食堂 ていしょく屋【おうち定食・弁当・丼】 錦店,address exception occurred,mobile number exception occurred, 
やよい軒 錦２丁目店 Yayoiken NISHIKI 2CHOME,"Japan, 〒460-0003 Aichi, Nagoya, Naka Ward, Nishiki, 2 Chome−4−3 錦パークビル １Ｆ",+81 52-220-2010, 
ビアードパパ 栄森の地下街店 Beard papa Sakae Morino Chikagai,address exception occurred,mobile number exception occurred, 
ステーキ丼専門店 創業令和元年「ステーキ高木」究極の一杯,address exception occurred,mobile number exception occurred, 
低糖質・高タンパク!ヘルシー鶏胸肉とブロッコリー トリブロ 栄店,address exception occurred,mobile number exception occurred, 
築地銀だこ LOFT 名古屋店 Tsukiji Gindaco Loft Nagoya,"Japan, 〒460-0008 Aichi, Nagoya, Naka Ward, Sakae, 3 Chome−18−1 LOFT名古屋店",+81 52-238-3240, 
はなまるうどん 名駅笹島店 Hanamaru Udon MEIEKI-SASAJIMA,"Japan, 〒450-0002 Aichi, Nagoya, Nakamura Ward, Meieki, 4 Chome−26−7 名駅ＵＦビル 1F",+81 52-533-0087, 
ガスト 清水口店 Gusto Shimizuguchi,"2 Chome-7-10 Shirakabe, Higashi Ward, Nagoya, Aichi 461-0011, Japan",mobile number exception occurred, 
餃子の王将 黒川,"2 Chome-13-17 Tabata, Kita Ward, Nagoya, Aichi 462-0843, Japan",mobile number exception occurred, 
バーガーキング 大須店 Burger King OOSU,"3 Chome-30-32 Osu, Naka Ward, Nagoya, Aichi 460-0011, Japan",mobile number exception occurred, 
ユウゼン 栄店 Yuuzen Sakae,"Japan, 〒460-0004 Aichi, Nagoya, Naka Ward, Shinsakaemachi, 3 Chome−１３",mobile number exception occurred, 
エピックコーヒー 〜オムライスとスペシャルティコーヒー〜 Epic coffee,address exception occurred,mobile number exception occurred, 
炒飯総本家【チャーハン専門】中日ビル南店,address exception occurred,mobile number exception occurred, 
ヤミーハワイアンバーベキュー栄本店 Yummy Hawaiian BBQ Main Shop,"Japan, 〒460-0008 Aichi, 名古屋市中区Naka Ward, Sakae, 1 Chome−12−1 CI ビル",mobile number exception occurred, 
海鮮丼 しろくま seafood rice bowl shirokuma,"2 Chome-21-2 Kaminagoya, Nishi Ward, Nagoya, Aichi 451-0025, Japan",mobile number exception occurred, 
長崎ちゃんぽん リンガーハット 名古屋錦店 Ringer Hut NAGOYA NISHIKI,"Japan, 〒460-0003 Aichi, Nagoya, Naka Ward, Nishiki, 3 Chome−18−25 ホテルランドマーク 名古屋 1F",+81 52-957-2531, 
香辣ｅ族 麻辣香鍋（シャンラーイゾク マーラーシャングオ） Chienese Restaurant Xianglaezoku,address exception occurred,mobile number exception occurred, 
