ピッツァメッセ 北浦和店 Pizza Messe Kitaurawa,"Japan, 〒330-0061 Saitama, Urawa Ward, Tokiwa, 9 Chome−11−12 吉野ビル 1F",mobile number exception occurred, 
プリンのお店 サンスマイル Pudding SunSmile-Urawa,"Japan, 〒330-0062 Saitama, Urawa Ward, Nakacho, 3 Chome−2−1 浦和仲町スカイマンション 102",mobile number exception occurred, 
ロイヤルホスト 浦和常盤店,"7 Chome-1-17 Tokiwa, Urawa Ward, Saitama, 330-0061, Japan",mobile number exception occurred, 
吉野家 １７号線浦和常盤店 Yoshinoya 17 GOSEN URAWA TOKIWA,"6 Chome-2-15 Tokiwa, Urawa Ward, Saitama, 330-0061, Japan",mobile number exception occurred, 
すき家 浦和仲町店 Sukiya Urawa-Nakamachi,"1 Chome-4-番12号 Nakacho, Urawa Ward, Saitama, 330-0062, Japan",mobile number exception occurred, 
ピザハット 浦和店 Pizza Hut URAWA,"3 Chome-8-10 Nakacho, Urawa Ward, Saitama, 330-0062, Japan",mobile number exception occurred, 
日乃屋カレー 浦和店 Hinoya Curry Urawa,"2 Chome-8-6 Takasago, Urawa Ward, Saitama, 330-0063, Japan",mobile number exception occurred, 
博多名物 元祖肉肉うどん 与野本町 Ganso Nikuniku Udon Yonohonmachi,address exception occurred,mobile number exception occurred, 
こだわりとんかつ 神楽 与野本町 Kagura Yonohonmachi,"2229-8 Iwafune, Tochigi, 329-4307, Japan",mobile number exception occurred, 
松屋 浦和仲町店 Matsuya Urawa Nakamachi,"Japan, 〒330-0063 Saitama, Urawa Ward, Takasago, 1 Chome−10−18 浦和コスモビル",mobile number exception occurred, 
ケンタッキーフライドチキン イオン北浦和店 Kentucky Fried Chicken AEON Kitaurawa,"10 Chome-20-29 Tokiwa, Urawa Ward, Saitama, 330-0061, Japan",+81 48-827-4061, 
ケンタッキーフライドチキン 浦和六辻店 Kentucky Fried Chicken Urawa-Mutsuji,"5 Chome-24-6 Negishi, Minami Ward, Saitama, 336-0024, Japan",mobile number exception occurred, 
モスバーガー 埼玉県庁前店 Mos Burger SAITAMA KENCHO-MAE,"3 Chome-6-15 Takasago, Urawa Ward, Saitama, 330-0063, Japan",mobile number exception occurred, 
生タピオカ専門店 OWL TEA 与野店,"4 Chome-12-2 Kinshi, Sumida City, Tokyo 130-0013, Japan",mobile number exception occurred, 
スターバックス コーヒー さいたま南与野店 Starbucks Coffee Saitama Minamiyono,"5 Chome-3-18 Suzuya, Chuo Ward, Saitama, 338-0013, Japan",mobile number exception occurred, 
タピパンダ　埼大通り店 TAPIPANDA SAIDAIDORI SHOP,address exception occurred,mobile number exception occurred, 
モスバーガー 北浦和店 Mos Burger Kitaurawa,"Japan, 〒330-0074 Saitama, Urawa Ward, Kitaurawa, 1 Chome−2−18 本多ビル １階",mobile number exception occurred, 
スターバックス コーヒー 浦和別所店 Starbucks Coffee Urawa Bessho,"3 Chome-2-2 Bessho, Minami Ward, Saitama, 336-0021, Japan",mobile number exception occurred, 
ほっともっと 西浦和店 Hotto Motto Nishi Urawa,"３-１８-3 Tajima, Sakura Ward, Saitama, 338-0837, Japan",mobile number exception occurred, 
ロッテリア 北浦和イオンＦＳ店 LOTTERIA Kitaurawa Aeon FS,"10 Chome-20-29 Tokiwa, Urawa Ward, Saitama, 330-0061, Japan",+81 48-834-3666, 
松屋 浦和田島通店 Matsuya Urawa Tajimadori,"3 Chome-7-6 Yotsuya, Minami Ward, Saitama, 336-0032, Japan",mobile number exception occurred, 
カレーハウス CoCo壱番屋 JR 武蔵浦和駅東口 Curry House CoCo Ichibanya JR Musashiurawa Station East-exit,"Japan, 〒336-0021 Saitama, Minami Ward, 七丁目6−8 ライブタワ 104号室",mobile number exception occurred, 
エフェケバブ 浦和店 EFE-KEBAB Urawa,address exception occurred,mobile number exception occurred, 
ほっともっと 上木崎５丁目店 Hotto Motto Kamikizaki 5Chome,"5 Chome-7-1 Kamikizaki, Urawa Ward, Saitama, 330-0071, Japan",mobile number exception occurred, 
バーガーキング 北浦和駅前店 Burger King KITAURAWA EKIMAE,"Japan, 〒330-0074 Saitama, Urawa Ward, Kitaurawa, 4 Chome−5−2 伊吹ビル １F",mobile number exception occurred, 
からやま さいたま町谷店 Karayama SAITAMA MACHIYA,"4 Chome-6-2 Machiya, Sakura Ward, Saitama, 338-0836, Japan",mobile number exception occurred, 
ほっともっと さいたま大戸店 Hotto Motto Saitama Oto,"2 Chome-23-3 Oto, Chuo Ward, Saitama, 338-0012, Japan",mobile number exception occurred, 
伝説のすた丼屋 与野駅前店 Densetsu no Stadonya Yono-Ekimae,address exception occurred,mobile number exception occurred, 
カレーハウス CoCo壱番屋 さいたま埼大通り店 Curry House CoCo Ichibanya Saitama Saidaidori,"4 Chome-23-5 Sakawa, Sakura Ward, Saitama, 338-0823, Japan",mobile number exception occurred, 
ローソン さいたま東高砂町店 Lawson Saitama Higashitakasagocho,"4-1 Higashitakasagocho, Urawa Ward, Saitama, 330-0055, Japan",mobile number exception occurred, 
ローソン 与野駅西口店 Lawson Yono Station Nishiguchi,"1 Chome-8-4 Kamikizaki, Urawa Ward, Saitama, 330-0071, Japan",mobile number exception occurred, 
