マクドナルド 銀座インズ店 McDonald's Ginza Inz,"Japan, 〒104-0061 Tokyo, 中央区銀座西1 Chome−2, 銀座インズ３内",+81 3-3567-5561, 
バーガーキング 秋葉原昭和通り店 Burger King AKIHABARA SHOWA-DORI,"Japan, 〒101-0025 Tokyo, Chiyoda City, Kanda Sakumacho, 1 Chome−２１",+81 3-3567-5561, 
マクドナルド 銀座インズ店 McDonald's Ginza Inz,"Japan, 〒104-0061 Tokyo, 中央区銀座西1 Chome−2, 銀座インズ３内",+81 3-3567-5561, 
バーガーキング 秋葉原昭和通り店 Burger King AKIHABARA SHOWA-DORI,"Japan, 〒101-0025 Tokyo, Chiyoda City, Kanda Sakumacho, 1 Chome−２１",mobile number exception occurred, 
極上ハンバーガー Field Cafe&Bar Field,"3 Chome-3-17-101 Miyoshi, Koto City, Tokyo 135-0022, Japan",+81 50-5269-7996, 
バーガーアンドミルクシェイク クレイン BURGER&MILKSHAKE CRANE,address exception occurred,mobile number exception occurred, 
シェイクツリー Shake Tree,"Japan, 〒130-0014 Tokyo, Sumida City, Kamezawa, 3 Chome−13−6 岩崎ビル 1F",mobile number exception occurred, 
クルズバーガーズ CRUZ BURGERS,"Japan, 〒160-0008 Tokyo, Shinjuku City, Yotsuya Saneicho, １５−6 小椋ビル 1F",mobile number exception occurred, 
ロッテリア 銀座クリスタルビル店 LOTTERIA Ginza Crystal Bldg,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 4 Chome−2−12 BF1 Crystal Building",mobile number exception occurred, 
ハングリーヘブン麹町店 Hungry Heaven Hamburgers Koujimachi × OWL TEA 麹町店,"Japan, 〒102-0084 Tokyo, Chiyoda City, Nibancho, 11-20 グンショウ二番町ビル２F",mobile number exception occurred, 
ベアバーガー銀座店 Bareburger Ginza,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 5 Chome−2−1 東急プラザ10 階10-B",mobile number exception occurred, 
TGIフライデーズ 東京ドームシティ店 TGI Fridays Tokyo Dome City,"Japan, 〒112-0004 Tokyo, Bunkyo City, Koraku, 1 Chome−3−61 後楽園ホールビル 1F",mobile number exception occurred, 
マティーニバーガー Martiniburger,"31 Nakazatocho, Shinjuku City, Tokyo 162-0804, Japan",mobile number exception occurred, 
HOOTERS 銀座店 HOOTERS GINZA,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 8−5, GINZA NINE 1, 2階",mobile number exception occurred, 
フレッシュネスバーガー 神田須田町店 Freshness Burger Kanda Sudacho,"Japan, 〒101-0041 Tokyo, Chiyoda City, Kanda Sudacho, １−14 1･2階 栄華ビル",mobile number exception occurred, 
ヴィレッジヴァンガードダイナー 豊洲フォレシア VILLAGE VANGUARD DINER TOYOSU FORESIA,"Japan, 〒135-0061 Tokyo, Koto City, Toyosu, 3 Chome−2−24 フォレシア",+81 3-5144-8191, 
ウルフギャング・パック 赤坂アークヒルズ店 Wolfgang Puck Akasaka Ark Hills,"Japan, 〒107-0052 Tokyo, Minato City, Akasaka, 1 Chome−12−32, Ark Mori Building, 1F",+81 3-5575-2100, 
ケンタッキーフライドチキン 四谷駅前店 Kentucky Fried Chicken Yotsuya,"Japan, 〒160-0004 Tokyo, Shinjuku City, Yotsuya, 1−3",mobile number exception occurred, 
友安製作所カフェ 浅草橋 Tomoyasuseisakusyo Café Asakusabashi,"Japan, 〒111-0053 Tokyo, Taito City, Asakusabashi, 1 Chome−7−2 岩崎ビル 1F",mobile number exception occurred, 
バーグホリック BURG HOLIC,address exception occurred,mobile number exception occurred, 
～ Aurora Burger ～100％オーロラビーフ使用 肉汁溢れる極上パティー,address exception occurred,mobile number exception occurred, 
モンスターグリル 上野店 MONSTER GRILL UENO,"6 Chome-2-13 Ueno, Taito City, Tokyo 110-0005, Japan",mobile number exception occurred, 
メキシコ料理ドンブランコ Don Blanco,"Japan, 〒105-0004 Tokyo, Minato City, Shinbashi, 3 Chome−18−7 桃山ビル 3階",+81 3-5401-2066, 
ピザなら日本一分厚いシカゴピザ専門店 ドランクベアーズ汐留店 Japan's thickest Chicago Pizza specialty store Drunk Bears Pedi Shiodome,"Japan, 〒105-0021 Tokyo, Minato City, Higashishinbashi, 1 Chome−9−1 ペディ汐留 2F",+81 3-3571-8801, 
バーガーズカフェグリルフクヨシ 神保町 Burgers Cafe Grill Fukuyoshi Jinbochou,"1 Chome-3-4 Sarugakucho, Chiyoda City, Tokyo 101-0064, Japan",mobile number exception occurred, 
塊肉ステーキを喰らえ!! ランプキャップ銀座店,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 1 Chome−14−11 地下 1 階 銀松ビル",mobile number exception occurred, 
ステーキ食いやがれ Steak Kuiyagare,"2 Chome-1-2 Tomioka, Koto City, Tokyo 135-0047, Japan",mobile number exception occurred, 
リュクス バーガー LUXE BURGERS,"Japan, 〒103-0024 Tokyo, Chuo City, Nihonbashikobunacho, 6−13 日本橋小舟町ビル 1F",mobile number exception occurred, 
チキンプレイスロティサリｰズ 東日本橋店 CHICKEN PLACE ROTISSERIES Higashi-Nihonbashi,"12-6 Nihonbashihisamatsucho, Chuo City, Tokyo 103-0005, Japan",mobile number exception occurred, 
ミセスネイバーフッドワッフルズ Mrs.Neighbourhood Waffles,address exception occurred,mobile number exception occurred, 
the 3rd Burger OtemachiOne店,"Japan, 〒100-0004 Tokyo, Chiyoda City, Ōtemachi, 1 Chome−2−1 One地下 1階",mobile number exception occurred, 
ウルフギャング・ステーキハウス 丸の内店 Wolfgang's Steakhouse Marunouchi,"Japan, 〒100-0005 Tokyo, Chiyoda City, Marunouchi, 2 Chome−1−1 MY PLAZA 明治生命館 B1F",+81 3-5224-6151, 
ウェンディーズ・ファーストキッチン 日比谷シャンテ前店 Wendy's First Kitchen HIBIYA SHANTE,"1 Chome-6-1 Yurakucho, Chiyoda City, Tokyo 100-0006, Japan",mobile number exception occurred, 
山本のハンバーグMeatBall&Wine 東京ドームシティ店 YAMAMOTONOHANBA-GU MeatBall&Wine TokyoDomeCityshop,"Japan, 〒112-0004 Tokyo, Bunkyo City, Koraku, 1 Chome−3−31番61 黄色いビル1F Hi!EVERYVALLY",mobile number exception occurred, 
鉄板王国 秋葉原 Teppan Oukoku Akihabara,"Japan, 〒101-0021 Tokyo, Chiyoda City, Sotokanda, 1 Chome−10−9 2F・3F Ty2 Bldg",mobile number exception occurred, 
ピザスライス PIZZA SLICE,address exception occurred,mobile number exception occurred, 
ハーティーズ ＨＡＡＴＹ'S,"Japan, 〒110-0016 Tokyo, Taito City, Taito, 1 Chome−1−15 村瀬ビル 2F",mobile number exception occurred, 
サニーダイナー 六本木店 Sunny Diner Roppongi,"6 Chome-7-2 Roppongi, Minato City, Tokyo 106-0032, Japan",mobile number exception occurred, 
よなよなビアワークス 赤坂店 YONA YONA BEER WORKS AKASAKA,"Japan, 〒100-0014 Tokyo, Chiyoda City, Nagatachō, 2 Chome−14−3 東急プラザ 赤坂 2階",+81 3-5510-4789, 
肉市場 東銀座店 NIKUICHIBA Higashiginza,address exception occurred,mobile number exception occurred, 
FIFTY 大手町店 FIFTY Otemachi,address exception occurred,mobile number exception occurred, 
ベーグル&ベーグル 汐留 BAGEL&BAGEL Shiodome,address exception occurred,mobile number exception occurred, 
tsukihana288,"2 Chome-8-8 Kiba, Koto City, Tokyo 135-0042, Japan",mobile number exception occurred, 
ホブゴブリン 六本木店 HOBGOBLIN ROPPONGI,"3 Chome-16-33 Roppongi, Minato City, Tokyo 106-0032, Japan",mobile number exception occurred, 
勝どき アールキッチン スパニッシュ&ガーリック R Kichen Spanish & Garlic,"3 Chome-5-6 Kachidoki, Chuo City, Tokyo 104-0054, Japan",mobile number exception occurred, 
ザ・ダッド・ボッド・バーガー 八重洲 The Dad Bod Burger Yaesu,"Japan, 〒108-0074 Tokyo, Minato City, Takanawa, 3 Chome−13−3 Shinagawa Goos 2F",+81 50-2018-0448, 
ローソン 銀座四丁目昭和通,"4 Chome-11-2 Ginza, Chuo City, Tokyo 104-0061, Japan",mobile number exception occurred, 
ハンバーグストロング HAMBURG STRONG,"4 Chome-14-14-1 Sotokanda, Chiyoda City, Tokyo 101-0021, Japan",+81 3-3526-2950, 
肉バル コラボ 銀座 Niku Bal Co-Lab Ginza,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 7 Chome−7−9 山市ビル B1F",mobile number exception occurred, 
エルエフカフェ LFCAFE,"Japan, 〒105-0001 Tokyo, Minato City, Toranomon, 2 Chome−3−17 虎ノ門２丁目タワー1F",mobile number exception occurred, 
東京ハンバーグ専門店 ミートキング門前仲町店＠こじまやTokyo hamburger specialty store Meet King Monzennakacho store @ Kojimaya,address exception occurred,mobile number exception occurred, 
フォルクス 新橋店 VOLKS Shinbashi,"Japan, 〒105-0004 Tokyo, Minato City, Shinbashi, 1 Chome−18−21, 第一日比谷ビル, 2F",mobile number exception occurred, 
ステーキ＆ハンバーグ マウンテン 岩本町店,address exception occurred,mobile number exception occurred, 
焼肉うしごろ 銀座店 USHIGORO Ginza,"1 Chome-6-6 Ginza, Chuo City, Tokyo 104-0061, Japan",mobile number exception occurred, 
ピザハット 東銀座店 Pizza Hut HIGASHIGINZA,"Japan, 〒104-0041 Tokyo, Chuo City, Shintomi, 1 Chome−15−14 新富ビル 1F 相互",mobile number exception occurred, 
アイランド バーガーズ Island Burgers,"Japan, 〒160-0004 Tokyo, Shinjuku City, Yotsuya, 3 Chome−１−1 須賀ビル",mobile number exception occurred, 
ランビックスイーツデリ RAMVIC SWEETS DELI,"4 Chome-6-17 Miyoshi, Koto City, Tokyo 135-0022, Japan",mobile number exception occurred, 
Anchor Point,address exception occurred,mobile number exception occurred, 
スープストック トーキョー 虎ノ門店 Soup Stock Tokyo Toranomon,address exception occurred,mobile number exception occurred, 
サラベス 東京店 Sarabeth’s TOKYO,"Japan, 〒100-0005 Tokyo, Chiyoda City, Marunouchi, 1 Chome−8−2 2・3F Tekko Building South Tower",mobile number exception occurred, 
ピザーラスタイル銀座 PIZZA-LA STYLE Ginza,"Japan, 〒104-0045 Tokyo, Chuo City, Tsukiji, 7 Chome−9−15 パークハイツ築地 １F",mobile number exception occurred, 
